exp_ic	age	spatial.std	spatial.avg	spatial.min	spatial.max	spatial.n.domains	mass.perc	region.majmin.ratio	region.extent	region.orient	mass.total	region.majaxis	threshold.area	region.centroid.0	region.centroid.1	region.minaxis	mass.region	region.eccentricity	threshold.perc	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	temporal.autocorr	temporal.min	temporal.max	temporal.std	temporal.n.freq	freq.rangesz	freq.maxsnr	freq.maxsnr.freq	freq.range.low	freq.range.high	freq.integrate	freq.avgsnr	length	artifact	signal	noise	hemodynamic	movement	res
190329_02-03_600components-0000	21	0.0007518626	0.000000002	-0.0056565404	0.0210540801	6	0.0922971002	4.3768161871	0.4526847422	-0.1597780661	558.9964353006	181.140047566	5109	1326.3241338814	785.2703073008	41.3862588285	51.59375	0.973549409	0.6889158576	803.323518899	776.0373606366	1300.410419121	776.2697315239	0.9907099257	-7.8759723133	86.0529930417	11.2004976941	1	1.8587508844	1.1077518367	4.2044820763	2.7262693317	4.585020216	0.0021163555	1.0625910337	7	1	0			1	6.6
190329_02-03_600components-0001	21	0.0007518705	2.60756409290797E-09	-0.0039739633	0.0133282175	1	0.1833643477	6.2696120269	0.7401403743	-0.022589007	582.8559441001	382.8549819654	17716	603.7036012644	793.9894445699	61.0651792049	106.875	0.9871980088	1	676.600539105	778.2740019137	609.8901378946	792.9128332954	0.99648147	-12.6072831044	60.3990818271	9.7496595606	1	1.3143353549	1.3852208592	3.8555270635	1.9277635318	3.2420988866	0.0044435955	1.2221714358	7	1	0		1		6.6
190329_02-03_600components-0002	21	0.0007518646	-4.53969674207406E-09	-0.0086126577	0.0146242083	3	0.0526458215	2.0409577525	0.5769009217	0.1582032999	687.9700790839	112.3399336452	4006	1419.263105342	777.5052421368	55.0427530933	36.21875	0.8717415178	0.7951568083	820.0758301629	775.7230606867	1396.9072610555	784.9941957399	0.9895064313	-10.1974163523	50.3080810083	8.8900222231	1	1.0494863101	1.0575724527	4.585020216	3.5355339059	4.585020216	0.0006945696	1.03475472	4	1	0		1		6.6
190329_02-03_600components-0003	21	0.0007518652	2.30883929897775E-09	-0.0044306663	0.0241136256	4	0.1156396453	2.2588523396	0.3854453627	-0.8564681147	540.7423191956	155.4817025312	6716	125.2855866587	828.5171232877	68.8321674722	62.53125	0.8966684622	0.9215148189	607.6232658943	786.004803204	119.1182982735	831.7263067152	0.962916624	-9.3286266249	128.4553257045	8.4151901685	2	1.2430237979	1.3967195826	3.8555270635	2.292510108	3.5355339059	0.0438097161	1.2693053263	6	1	0		1		6.6
190329_02-03_600components-0004	21	0.0007518656	-1.05844035273407E-09	-0.0044021682	0.0404253429	8	0.101096074	4.620146113	0.2775685853	0.9880800107	443.5755834839	152.910230642	3612	89.9720376523	723.6273532669	33.0964058066	44.84375	0.9762951742	0.9542932629	622.2816705491	767.9491029637	85.9590836156	726.7940713375	0.9682163086	-7.2705920113	78.5527506513	7.8686998585	2	1.7044820763	1.3551135381	3.8555270635	2.5	4.2044820763	0.0310106225	1.2244006224	7	1	0		1		6.6
190329_02-03_600components-0005	21	0.0007518644	-5.4621700538604E-10	-0.0044959252	0.0127735157	13	0.1363727035	5.7963116454	0.2151025669	-1.0370504632	670.4970836677	354.7008906259	15687	83.7075285268	236.366226812	61.1942408076	91.4375	0.9850054011	0.9977103606	580.8286796867	665.0038149578	78.1868455157	240.2410448496	0.9845510603	-26.2982951923	29.2991854905	7.5098873683	2	1.1444729365	1.1103981967	4.585020216	3.8555270635	5	0.0020566415	1.0737989489	2	0	1				6.6
190329_02-03_600components-0006	21	0.0007518657	1.8391837605502E-09	-0.0054868725	0.0170922215	2	0.1007960577	9.2464194229	0.2459499264	1.3034583242	621.3040612996	334.8411493409	7515	43.8183632735	584.6372588157	36.2130608645	62.625	0.9941345903	0.9996009577	574.3117803823	733.5625219433	42.8460917766	585.8803068149	0.982565615	-11.9355722582	61.9841037702	7.3634309436	2	1.4782127446	1.185224343	3.8555270635	2.7262693317	4.2044820763	0.0077509776	1.1296210675	6	1	0			1	6.6
190329_02-03_600components-0007	21	0.0007518641	6.14318809418506E-11	-0.0081335529	0.0175850441	1	0.0864644345	6.8767314053	0.2903556034	-1.2713043097	611.5231114706	233.7785955649	5389	61.7055112266	954.9805158657	33.9955978774	52.875	0.9893703187	1	601.6181141054	802.7438721667	62.2315139164	953.3020975074	0.9808989881	-7.079019521	82.376786052	6.4379507271	2	1.2430237979	1.2332860966	3.8555270635	2.292510108	3.5355339059	0.0110948923	1.1369180125	6	1	0			1	6.6
190329_02-03_600components-0008	21	0.0007518667	-1.09864773547815E-09	-0.0059965192	0.0111705875	3	0.0566818159	4.2165824137	0.7195811518	0.0312549808	799.4186369093	198.3056807293	6872	281.3253783469	801.105355064	47.0299548949	45.3125	0.9714708752	0.9995636364	656.9622844222	776.1459725646	277.8860641497	800.5683572875	0.9873806994	-7.2955451686	49.8168731045	5.7661140564	1	1.2430237979	1.2507985775	3.8555270635	2.292510108	3.5355339059	0.0081152807	1.1548642598	6	1	0		1		6.6
190329_02-03_600components-0009	21	0.0007518667	4.65791676440559E-10	-0.0057233055	0.009228978	7	0.084159357	1.4418855566	0.6051751279	-1.021090648	778.285414304	157.9838537846	12302	69.0275564949	399.0046333929	109.567540266	65.5	0.7204216651	0.9983768869	589.2339473866	702.0212955574	67.6134158491	398.86175808	0.9839190377	-25.5252253204	22.3291545572	5.687583206	1	0.0026475138	2.6483784703	3.2420988866	0.0048828125	0.0075303263	0.7290979938	2.1750241978	6	0	1				6.6
