exp_ic	age	spatial.std	spatial.avg	spatial.min	spatial.max	spatial.n.domains	region.orient	threshold.area	mass.total	mass.region	region.majmin.ratio	region.extent	threshold.perc	region.centroid.1	region.centroid.0	mass.perc	region.eccentricity	region.minaxis	region.majaxis	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	temporal.autocorr	temporal.min	temporal.max	temporal.std	temporal.n.freq	freq.range.high	freq.maxsnr.freq	length	freq.avgsnr	freq.integrate	freq.range.low	freq.maxsnr	freq.rangesz	artifact	signal	noise	hemodynamic	movement	res
190613_01-02_600components-0000	22	0.0007516434	-1.73448355077504E-09	-0.0040782185	0.016129785	4	-0.2463732642	8780	461.0170573494	74.75	3.8105722004	0.3528229857	0.7105284454	815.7485193622	1334.8733485194	0.1621415061	0.9649516365	65.7535816036	250.5587701383	848.6678390389	788.46891355	1326.8833481385	801.4766294183	0.987877742	-15.9968979709	76.0186843464	20.0982685631	2	5	4.585020216	3	1.5598509648	0.0142226026	3.5355339059	1.7667926864	1.4644660941	1	0		1		7
190613_01-02_600components-0001	22	0.000751646	-4.00261996161738E-10	-0.0213698763	0.0231842144	0														698.1203630474	841.4280794539	638.1440386295	419.6822700445	0.9998281141	-22.5976094135	24.5356117281	18.2488962365	2	5	4.585020216	3	1.1152801204	3.34986540871217E-05	3.8555270635	1.1588689638	1.1444729365	1	0			1	7
190613_01-02_600components-0002	22	0.0007516424	-1.72238277637331E-09	-0.006976852	0.0195600414	2	-0.5196353772	2928	710.3367867185	32.65625	2.0693978644	0.5802615933	0.9724344072	531.2056010929	1402.3493852459	0.0459729112	0.8754921431	43.037001446	89.0606788831	783.7119329628	769.2265276591	1397.3045467269	541.1208058498	0.9777631991	-12.4051926482	38.4870305067	11.8253234992	2	5	4.585020216	3	1.4118034673	0.0195510138	3.5355339059	1.5788352576	1.4644660941	1	0			1	7
190613_01-02_600components-0003	22	0.0007516422	8.39436346995081E-10	-0.0088947291	0.0170959289	1	-0.0008860907	4612	580.3755852646	50.21875	4.4799222437	0.8108298172	1	782.0329575022	664.2775368604	0.0865280196	0.9747685126	36.4301783253	163.2043662226	668.1163124784	795.1057232183	664.4123589146	781.9805099194	0.9934378445	-19.0945841948	33.2211901226	11.7878116166	2	5	4.585020216	3	1.3035199163	0.00418303	3.5355339059	1.473157396	1.4644660941	1	0		1		7
190613_01-02_600components-0004	22	0.0007516439	-1.4866760827517E-09	-0.0106272923	0.0168836357	2	0.0247939833	6693	693.2632935338	56.3125	4.6895792135	0.6401721664	0.9970207061	779.7962049903	512.8229493501	0.0812281575	0.977000121	43.1633316766	202.4178630174	649.2239138423	785.9399105971	518.882428252	779.1365955857	0.9941167806	-14.8635340623	30.9433158524	10.706119355	2	5	4.585020216	3	1.2365414219	0.0031741504	3.5355339059	1.3139824131	1.4644660941	1	0		1		7
190613_01-02_600components-0005	22	0.0007516419	4.23620919324318E-09	-0.0107067491	0.0128948492	5	-0.4089138686	596	771.7069980626	5.34765625	1.3853862835	0.6492374728	0.6443243243	777.038590604	1097.7281879195	0.0069296459	0.6920804829	23.9627432746	33.1976558478	719.9742124077	793.1748400461	1103.7246384327	782.7462049999	0.9883773537	-10.9662492679	33.9180502316	10.5785586662	2	5	4.585020216	3	1.4460732945	0.0110325805	3.5355339059	1.6345255093	1.4644660941	1	0		1		7
190613_01-02_600components-0006	22	0.0007516416	1.39409891151316E-09	-0.0075450999	0.0099288509	1	-0.0607885713	8845	740.3089559805	59.9375	5.4455644246	0.659287418	1	784.5755794234	338.0038439797	0.080962819	0.9829943703	45.9412046473	250.1757896523	616.6037151953	790.3113581326	338.2384658336	784.5272298816	0.989266484	-14.9651542976	35.303041094	9.9324158792	2	5	4.2044820763	4	1.3824286317	0.0112817728	3.2420988866	1.5685753645	1.7579011134	1	0		1		7
190613_01-02_600components-0007	22	0.0007516434	7.05071537052189E-09	-0.0077650037	0.0095807797	6	-1.1177779631	3801	816.1909350586	25.765625	2.3527607368	0.4874951905	0.9926873857	709.4559326493	1573.2223099185	0.0315681342	0.9051780453	46.8720513819	110.2787221458	801.9764379712	777.5393516923	1571.1702408195	709.1637301994	0.997194129	-18.2337998559	25.9241236488	9.2205652655	2	5	4.585020216	3	1.0929170602	0.0004608752	3.8555270635	1.1464721264	1.1444729365	0	1				7
190613_01-02_600components-0008	22	0.0007516426	8.56132690318944E-11	-0.0079770577	0.0099110316	1	-0.154902865	29	868.0058583276	0.2210693359	2.359210516	0.8055555556	1	741.4137931034	1314.2068965517	0.0002546865	0.9057227535	3.929880253	9.2714148195	817.3191086733	765.4182726566	1315.6712518797	705.4199708066	0.9692195095	-16.2147308235	41.7358893912	9.1728127916	2	5	5	2	1.1494009048	0.0056216727	4.2044820763	1.2127002015	0.7955179237	1	0			1	7
190613_01-02_600components-0009	22	0.0007516432	1.51759029245787E-09	-0.0069333248	0.0144604828	4	0.3951485153	5191	810.5323974968	39.8125	1.7033570676	0.544129979	0.9054596197	1053.14236178	1372.0040454633	0.0491189496	0.8095318445	64.8700741391	110.4968992591	747.2081827029	809.8325046838	1368.4955186547	1056.4296420106	0.9906563207	-10.4746895598	30.8561300655	8.9700430118	2	5	4.585020216	4	1.2582712791	0.005334931	3.5355339059	1.3903538231	1.4644660941	1	0			1	7
190613_01-02_600components-0010	22	0.0007516434	-1.28127064646111E-09	-0.0419442975	0.0505082887	1	0.2630332095	11	782.8083905542	0.4118652344	1.4168976552	0.9166666667	1	1390.9090909091	642.6363636364	0.000526138	0.7084437526	3.0673563246	4.3461299841	660.9923071062	867.7954181731	683.5232479272	1376.1905315205	0.9988887633	-12.1906943301	14.8881466271	8.5210149423	0									1	0			1	7
190613_01-02_600components-0011	22	0.0007516466	6.17614425889565E-10	-0.0093092253	0.0130433811	8	0.9634342419	14223	616.3530834741	83.1875	2.8960189911	0.3580365009	0.9969159599	1350.7168670463	95.9405891865	0.1349672813	0.9384917703	82.3696753681	238.5441441588	499.18542624	961.9687561995	94.3555964846	1349.8566997689	0.9775508217	-25.3578100112	16.1759549036	8.4018303514	2	5	5	2	1.2790983896	0.0066229693	4.2044820763	1.430086974	0.7955179237	0	1				7
190613_01-02_600components-0012	22	0.0007516436	2.60357484647703E-09	-0.0042923281	0.0199429598	3	0.0452407568	9958	677.233882316	66.9375	2.0979316537	0.6628502962	0.9997991968	783.0023097007	944.1228158265	0.0988395616	0.8790877606	79.6959154775	167.1965837533	718.8550131632	786.4157461407	936.1132884064	784.4882325074	0.9429257758	-7.9077298607	28.0697832679	8.3973408395	2	5	4.585020216	3	1.5225490679	0.0622110552	3.5355339059	1.7781080272	1.4644660941	1	0		1		7
190613_01-02_600components-0013	22	0.0007516423	-3.06498902760572E-09	-0.0085636464	0.0104807405	2	1.3780002837	4461	770.3703328649	35.46875	1.4564355931	0.5611320755	0.9997758853	786.0428155122	782.3156242995	0.0460411681	0.7270280361	64.9754838144	94.6326073075	688.967535172	795.2493209006	782.2108949795	787.167936794	0.9775417262	-13.6212888852	30.4714818021	8.2060252176	2	5	4.585020216	3	1.3692475292	0.0172331592	3.5355339059	1.5605807639	1.4644660941	1	0		1		7
