exp_ic	age	spatial.std	spatial.avg	spatial.min	spatial.max	spatial.n.domains	threshold.area	region.majmin.ratio	region.centroid.1	region.centroid.0	threshold.perc	region.extent	region.majaxis	mass.region	mass.total	region.eccentricity	mass.perc	region.minaxis	region.orient	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	temporal.autocorr	temporal.min	temporal.max	temporal.std	temporal.n.freq	length	freq.maxsnr.freq	freq.range.high	freq.rangesz	freq.integrate	freq.maxsnr	freq.avgsnr	freq.range.low	artifact	signal	noise	hemodynamic	movement	res
190625_03-04_600components-0000	21	0.0007516515	0.000000003	-0.0050541116	0.0057452433	37	3867	1.3489078878	1245.8900956814	480.595810706	0.8685983827	0.4503843466	91.3045405116	16.171875	891.5618121626	0.671129135	0.0181388153	67.6877504672	-0.3592572173	644.2933231049	875.2182933366	482.9437662192	1247.7074135456	0.9988104893	-21.6719023028	35.657755815	12.7989947705	1	8	3.8555270635	0.8838834765	0.4019425935	0.0008981595	1.0664513838	1.0368651918	0.4819408829	0	1				6.79
190625_03-04_600components-0001	21	0.0007516508	-0.000000001	-0.0047165895	0.0061872122	32	6696	1.0814257711	1024.9169653525	607.8567801673	0.9755244755	0.4307771487	112.1370195797	28.03125	916.8355133433	0.3806840568	0.0305739139	103.6936816022	1.3513991847	668.4830490726	826.6279776125	609.6524854097	1023.8347927291	0.9991068866	-19.930131443	34.1431836712	11.9958226812	1	6	3.8555270635	0.9638817659	0.3388817659	0.0006365097	1.0853309235	1.051597327	0.625	0	1				6.79
190625_03-04_600components-0002	21	0.0007516512	0.000000001	-0.0045211106	0.0051352517	0														596.7603042633	816.8284212464	261.0395337235	933.6678947724	0.9985671539	-20.7929428671	54.9753756129	11.6825135882	1	17	2.1022410381	2.7262693317	2.0447019987	0.004654282	1.1772638557	1.1226892554	0.6815673329	0	1				6.79
190625_03-04_600components-0003	21	0.0007516503	-2.10985882037865E-09	-0.0043870228	0.0071683048	25	8590	2.0813393259	733.277532014	454.661233993	0.5012253472	0.2827983539	219.9522340797	34.21875	878.0499384057	0.8770167179	0.0389713028	105.6782194715	-0.0782487902	639.2169352475	794.4948846883	458.2764799708	782.2762358661	0.997930703	-19.4104189977	53.425399829	11.4778070751	1	17	2.9730177875	1.146255054	0.8596912905	0.0216498146	1.2785737166	1.1718239144	0.2865637635	0	1				6.79
190625_03-04_600components-0004	21	0.0007516506	8.50494732818645E-10	-0.0042120584	0.0066556158	16	12367	1.4824278102	572.8337511118	606.5947279049	0.9902314036	0.5845622991	158.8797236212	50.09375	893.2049533025	0.7382117065	0.0560831529	107.1753528418	-0.3760429593	670.2178923117	755.0451024043	604.8646610181	570.8199205856	0.9981819862	-19.3143583916	29.0947777772	10.8954990058	0									0	1				6.79
190625_03-04_600components-0005	21	0.00075165	2.10215008309144E-09	-0.0033197118	0.0076978179	21	29657	2.1732946331	141.0391475874	378.1337964056	0.9981488961	0.6252398119	292.3263523057	119.5	774.0130334422	0.8878510919	0.1543901651	134.5083854947	-0.294294022	618.9945776369	641.3439086268	382.060137043	136.9514833527	0.9994815509	-44.6838297004	17.4489985451	10.8079460231	1	25	1.146255054	1.146255054	1.0029731723	0.0313516209	1.7527230377	1.3924153676	0.1432818818	0	1				6.79
190625_03-04_600components-0006	21	0.0007516505	5.08154883932454E-10	-0.0041097579	0.0080815792	30	4340	2.3967788891	887.9329493088	1453.432718894	0.6280752533	0.2065879665	193.7457320273	18.921875	827.8031317057	0.9088024713	0.0228579408	80.8358805682	-0.004205751	875.300590394	803.9410931251	1438.6600531859	861.6341442691	0.9982499377	-58.4153602519	17.6303965001	10.1556335312	1	20	1.146255054	0.9638817659	0.7780681542	0.0222590171	1.215510684	1.1113974874	0.1858136117	0	1				6.79
190625_03-04_600components-0007	21	0.0007516503	2.69365415880712E-10	-0.0040904485	0.0091714471	20	20815	1.3543433254	1487.4269997598	352.8751861638	0.9955043283	0.598063441	200.7930457935	89.5	803.9578326282	0.674401075	0.1113242466	148.258600329	0.035970946	615.9107565117	923.8687160724	353.2442168443	1487.5967959017	0.9979677514	-43.7887792161	13.8985379566	9.0815546462	1	1	5	5	0	2.71629253559664E-05	1.0366656657	1.0366656657	5	0	1				6.79
190625_03-04_600components-0008	21	0.0007516521	8.18651606173646E-10	-0.0040585198	0.0049453124	0														654.4091777942	788.284283645	492.4444664435	594.1960673421	0.9986889389	-14.1975958168	23.411451988	8.3864347148	0									0	1				6.79
190625_03-04_600components-0009	21	0.00075165	8.65325381167561E-11	-0.0062360357	0.0124806881	5	3047	11.4734153606	778.634722678	612.5090252708	0.5487124077	0.7939030745	216.1406700143	25.234375	764.3123972975	0.9961945001	0.0330157866	18.8383897227	-0.0069057743	674.3806881783	795.7684718701	609.8087270472	789.1688093794	0.9979816014	-7.5703219055	40.0472487649	7.7811511129	1	7	3.5355339059	2.5	1.0134911062	0.0021474084	1.242839456	1.1470661096	1.4865088938	1	0		1		6.79
