exp_ic	age	spatial.std	spatial.avg	spatial.min	spatial.max	spatial.n.domains	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	region.orient	threshold.area	mass.total	mass.region	region.majmin.ratio	region.extent	threshold.perc	region.centroid.1	region.centroid.0	mass.perc	region.eccentricity	region.minaxis	region.majaxis	temporal.autocorr	temporal.min	temporal.max	temporal.std	temporal.n.freq	freq.range.high	freq.maxsnr.freq	length	freq.avgsnr	freq.integrate	freq.range.low	freq.maxsnr	freq.rangesz	artifact	signal	noise	hemodynamic	movement	res
190904_01-02_600components-0000	21	0.0007609638	6.26895499030293E-10	-0.006419542	0.0199077185	0	811.820273735	828.1666233609	1074.3580863592	1224.665121958														0.9983750067	-18.3778666696	35.2476197838	10.2071530881	0									0	1				6.95
190904_01-02_600components-0001	21	0.0007609655	4.92545741855897E-10	-0.0145138336	0.0068826605	0	715.337963224	804.8885023221	1408.3733146339	664.8833014174														0.9985395156	-11.3706943402	42.0733116038	8.2400962767	2	5	5	1	1.1499813861	0.0001569545	4.585020216	1.2336922967	0.414979784	0	1				6.95
190904_01-02_600components-0002	21	0.0007609671	3.82101020982771E-10	-0.0169981341	0.0181759228	0	571.9140558659	759.3848845267	349.2553471827	544.4287107924														0.9968630397	-37.1698465032	13.7176876469	7.9730374578	2	5	5	1	1.1300836338	0.0002924464	4.585020216	1.199262548	0.414979784	0	1				6.95
190904_01-02_600components-0003	21	0.0007609639	4.50526320824901E-10	-0.0063043965	0.0221604885	8	590.2181309957	735.2256298825	385.7902170602	110.783229362	0.4036007806	14	918.251938538	0.1861572266	1.6613860235	0.7	0.1728395062	1293.8571428572	1025.9285714286	0.00020273	0.7985661365	3.2448688565	5.3909797661	0.9972409426	-26.8234709386	13.2395067627	6.9738057748	2	5	5	1	1.016190638	3.66121257176786E-05	4.585020216	1.0231523348	0.414979784	0	1				6.95
190904_01-02_600components-0004	21	0.000760964	6.13389535352111E-10	-0.0064376089	0.021362972	1	624.9820107073	844.3609279601	1024.587900894	1293.7178061007	1.5707963268	6	959.2769374384	0.1119384766	1.6329931619	1	1	1294	1024.5	0.0001166905	0.790569415	2	3.2659863237	0.9979666185	-17.5919078502	15.9324993174	6.4209466489	0									0	1				6.95
190904_01-02_600components-0005	21	0.0007609647	2.9639847332576E-10	-0.0081567369	0.0087703933	3	629.5621797672	807.4364811468	670.8968871975	555.7679225258	-1.2781467384	106	965.8034156577	0.4135742188	1.8992969095	0.5353535354	0.8907563025	552.0566037736	674.2169811321	0.0004282178	0.85016855	8.9512022318	17.0009907351	0.9957900173	-14.2947027561	20.0170100891	5.7312071092	1	0.0053247448	4.585020216	2	1.1466697738	0.1068773545	0.0048828125	1.1881300557	0.0004419323	0	1				6.95
190904_01-02_600components-0006	21	0.000760964	1.4507581798041E-09	-0.0095592068	0.0079419518	1	537.2610778722	882.8833463285	237.3103537356	1238.6994192126	0.2920732908	23	935.0051957712	0.1251220703	1.5377730183	0.6571428571	1	1216.8695652174	218.7826086957	0.0001338197	0.7596851823	4.3736279237	6.7256470131	0.9883353223	-17.4752075139	16.272977699	5.5239359765	2	5	5	0	1.2141770359	0.0016784899	4.585020216	1.3257126591	0.414979784	0	1				6.95
190904_01-02_600components-0007	21	0.0007609632	-1.12292356195309E-10	-0.0510087844	0.0976380401	0	709.300536344	851.8274528142	1301.041055881	1077.1486843382														0.9882675123	-13.1605955042	18.260105396	5.4330197816	2	2.1022410381	4.2044820763	5	1.15886221	0.0093460216	1.4865088938	1.2322975992	0.6157321444	1	0			1	6.95
190904_01-02_600components-0008	21	0.0007609638	4.10137724168155E-10	-0.0092782153	0.0197255437	8	571.2030307579	814.9932621582	342.979701055	831.1534114714	-0.0184417446	12648	840.9634446334	59.0625	8.3348899386	0.3693925234	0.7866650081	839.7540322581	354.0562934851	0.0702319469	0.9927766003	49.2262702105	410.2955442942	0.98237079	-10.8741826703	26.6217329088	5.4041176067	2	5	5	2	1.206656284	0.005655941	3.8555270635	1.3596753142	1.1444729365	1	0		1		6.95
190904_01-02_600components-0009	21	0.0007609646	1.41837505862947E-09	-0.0136081419	0.0248642065	4	708.5728568662	811.9477997118	1242.3192467733	738.7143506475	1.0748387966	207	936.2665439266	1.548828125	2.6331712659	0.4509803922	0.5267175573	697.8212560386	1251.8550724638	0.0016542598	0.9250808553	11.4736172078	30.2119991478	0.9908936247	-10.789676411	19.1075349184	5.2967032234	2	5	4.585020216	2	1.0749297242	0.0011431335	3.8555270635	1.1068189656	1.1444729365	1	0		1		6.95
