exp_ic	age	freq.avgsnr	freq.integrate	freq.maxsnr	freq.maxsnr.freq	freq.range.high	freq.range.low	freq.rangesz	length	mass.perc	mass.region	mass.total	region.centroid.0	region.centroid.1	region.eccentricity	region.extent	region.majaxis	region.majmin.ratio	region.minaxis	region.orient	neural	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	spatial.avg	spatial.max	spatial.min	spatial.n.domains	spatial.std	temporal.autocorr	temporal.max	temporal.min	temporal.n.freq	temporal.std	threshold.area	threshold.perc	anml	artifact	hemodynamic	movement
190408_07-08-0000	22									0.0711722362	36.75	516.3530327056	1303.9980754427	795.8086989992	0.8464476256	0.6535849057	80.0617604853	1.8780330686	42.6306447017	-0.4452048064	0	755.8419628551	784.361879309	1295.0313148083	781.0843738955	-2.14660032740513E-10	0.0252293436	-0.0083451094	2	0.0007516414	0.9937523463	85.8165418045	-15.6689956636	0	17.4375131099	2598	0.7865576748	1	1	1	
190408_07-08-0001	22	1.0619460375	0.028320568	1.1039586446	4.585020216	0.0089551176	0.0075303263	0.0014247913	3	0.0570832866	34.9375	612.0442966098	1360.0019011407	780.508365019	0.9745003221	0.5525210084	128.4385395623	4.4566040247	28.8198230874	-0.0962951639	0	746.6941210293	782.8486072242	1361.5507763555	774.7792420101	3.27349645602287E-09	0.0232414275	-0.0071731234	3	0.0007516426	0.9897897038	83.2669421583	-14.4938025609	2	15.9312616115	2630	0.7967282642	1	1	1	
190408_07-08-0002	22	1.0809817158	0.0027862916	1.124209277	3.8555270635	3.2420988866	1.767766953	1.4743319337	8	0.1136537804	58.34375	513.346320802	724.9780271155	805.4463144772	0.9865000773	0.7919289152	229.1936283802	6.1064677175	37.53293049	-0.0329846788	0	679.7679947687	784.5732838433	717.3943652086	798.0736087849	1.50537540110247E-09	0.018365035	-0.0033482986	4	0.0007516417	0.9947525963	34.5198822013	-19.0170418543	1	11.9605678886	6417	0.7253306205	1	1	1	
190408_07-08-0003	22	1.0378296023	0.0065574744	1.0378296023	5	0.0048828125	0.0048828125	0	1	0.0469097212	26.546875	565.9141502677	1267.2608695652	799.9894409938	0.7398254581	0.6708333333	55.9787641943	1.4863283448	37.6624481323	-0.7195382221	0	723.794334078	786.9574300506	1243.8912320148	788.1057854788	-1.12817342300711E-09	0.031172928	-0.0069473226	5	0.0007516424	0.992558875	71.8094041407	-9.6972398341	1	11.4451922121	1610	0.6138009912	1	1	1	
190408_07-08-0004	22	1.0719665688	0.0310525864	1.1072430801	2.7262693317	2.9730177875	1.3631346658	1.6098831217	10	0.0726672465	33.6875	463.5857506788	132.3952835486	758.8986524424	0.8797084453	0.5621843434	99.5432120244	2.1029898891	47.334137239	0.5158939847	0	569.2244229941	785.7035646277	132.6315374097	787.4730365608	-3E-09	0.0263498156	-0.0033855734	4	0.0007516413	0.9590347134	78.7877712998	-12.1536510549	3	10.7428594727	3562	0.4969308036	1	1	1	
190408_07-08-0005	22	1.3146832948	0.1783826065	1.4855477682	4.2044820763	0.009765625	0.0069053397	0.0028602853	5	0.0703390919	47.78125	679.2986475546	1324.986958987	492.8990738991	0.8140999701	0.6998677249	108.1305246208	1.7219861819	62.7940721914	-0.2861985876	1	747.338158401	762.233902658	1327.8654685773	509.6496999375	-3.18822259779949E-09	0.021840779	-0.003701579	5	0.0007516433	0.985771513	45.7870354432	-14.3326806762	2	10.554700228	5291	0.9149230503	1	1		
190408_07-08-0006	22	1.100301484	0.0131061089	1.1584867975	3.5355339059	2.9730177875	1.3631346658	1.6098831217	10	0.0819700335	47.1875	575.6676918832	520.427252659	802.6205097331	0.990917546	0.770884901	226.7416097362	7.436554417	30.4901432871	0.0234986268	0	635.7875924495	785.7867758358	520.4425087607	796.872850459	-6.44232317889785E-11	0.0150408647	-0.0138456721	2	0.0007516415	0.9871703718	34.1709152819	-20.5189340539	2	10.5228970445	4983	0.7322556943	1	1	1	
190408_07-08-0007	22	1.060370001	0.0082840441	1.1005569291	3.8555270635	2.7262693317	1.4865088938	1.2397604379	8	0.110930264	65.125	587.0805464402	66.9418879466	638.5648547199	0.9687057197	0.3398053666	201.4368405923	4.0288130433	49.9990539214	1.0964470743	0	572.0447466381	755.9960607886	65.4231194011	638.9422995531	-1.4364903696257E-10	0.0176595381	-0.0056115296	2	0.0007516426	0.9829360149	50.7695478537	-14.3099958604	3	9.0689878828	7193	0.9975038136	1	0	1	
190408_07-08-0008	22	1.0120254075	0.0007384272	1.0152427161	4.585020216	0.9638817659	0.8838834765	0.0799982894	2	0.0252164552	21.296875	844.5626000339	1437.9067974772	790.3325157673	0.673234996	0.6648031679	73.0317439541	1.3523956378	54.0017594802	0.0146107897	1	729.6842417899	782.8782949201	1434.0681052073	771.2106552341	-1.08952143002341E-09	0.0129121281	-0.0058433779	3	0.0007516447	0.9855303076	37.2075120657	-12.1927217516	2	8.0036418423	2854	0.6173480424	1	0		
190408_07-08-0009	22	1.2172653952	0.0461737913	1.3495822978	3.5355339059	2.9730177875	1.3631346658	1.6098831217	10	0.0475322421	35.59375	748.8338115719	297.9228611501	800.5292192613	0.9926617962	0.6489684466	224.4054481336	8.2696726652	27.1359529232	-0.0298543552	0	617.3973690491	789.9623007836	284.566299952	796.5538436055	5.61668463735817E-10	0.0144101849	-0.0058665787	4	0.0007516427	0.9797337214	31.9763350899	-15.0496999551	2	7.7557407021	4278	0.7673542601	1	1	1	
190408_07-08-0010	22	1.030963599	0.0113631729	1.0484969074	4.585020216	0.8838834765	0.6815673329	0.2023161436	4	0.0637947772	48.5	760.2503237931	1525.5269220466	658.7508706134	0.4929829593	0.6844517785	105.7144035265	1.149373809	91.9756503017	1.0182726237	1	807.7095890972	771.3303752297	1527.2361232659	691.6193911783	-8.25892915572735E-10	0.0101404328	-0.0045488699	6	0.0007516443	0.9610207132	34.9541104134	-28.790271582	2	7.718942647	7466	0.7971385864	1	0		
190408_07-08-0011	22	1.0230121818	0.0066165842	1.0343028318	4.585020216	0.9638817659	0.8105247217	0.1533570442	3	0.0691701398	56.40625	815.4711001537	1401.6879728419	563.1790494665	0.8248776954	0.6542293293	155.1642723556	1.7689370839	87.7161057742	0.3457920627	1	785.2479044527	759.5615522371	1401.7733307041	562.7025754744	-1.05589617867235E-09	0.0084804111	-0.00433713	7	0.0007516446	0.9563553231	41.6703641434	-24.2584907367	2	7.5317711473	10310	0.9992246559	1	0		
190408_07-08-0012	22	1.1148430046	0.0039246207	1.1765715709	3.2420988866	1.3631346658	0.625	0.7381346658	10	0.0239108398	19.0625	797.2325580837	1059.3439536568	835.3642288197	0.5496221371	0.5526210484	49.3059420558	1.1970121983	41.1908434386	0.4040347746	0	703.4039641094	781.130218699	1053.914676553	834.0293267635	-1.7331751101136E-09	0.0274510797	-0.0070619402	3	0.0007516434	0.9983451665	16.0175781236	-13.2405018858	1	7.2639770905	1381	0.8284343131	1	1		1
190408_07-08-0013	22	1.0561847479	0.0144141678	1.0787988345	4.2044820763	2.7262693317	1.4865088938	1.2397604379	8	0.0790677116	49.90625	631.1836907046	86.1801214302	713.5399145491	0.9802052529	0.2673761424	177.0572215724	5.0509133404	35.054496017	1.0336290869	0	600.1342781007	778.8753243996	86.295212432	717.8306762292	1.75024461846982E-09	0.02257533	-0.0052966243	1	0.0007516429	0.9658681627	51.8381738965	-5.5675857658	3	7.1042808766	4447	1	1	1	1	
190408_07-08-0014	22	2.6303476922	0.9145768155	4.5674724087	1.6210494433	0.0150606526	0.0048828125	0.0101778401	14	0.0823452857	66.5	807.5750715411	1339.8066812262	1007.6144139772	0.4252854825	0.6888616482	133.8754912954	1.10490003	121.1652526571	0.2080761277	1	771.3888882377	808.2998240938	1340.478564843	1007.0140902782	4.2151904037851E-09	0.0083986432	-0.0054263915	8	0.0007516442	0.95972416	38.2150776495	-22.22023663	1	7.0582583592	12363	0.9991110393	1	0		
190408_07-08-0015	22	1.1218549059	0.0660597639	1.2073184928	3.8555270635	1.146255054	0.625	0.521255054	8	0.0790048507	61.59375	779.6198521338	1374.8778237353	695.8104783116	0.8223375598	0.6357200647	147.1513097634	1.7574694135	83.7290871947	-0.4670034938	1	752.330800791	778.0826508197	1373.5985908542	699.8048338901	-3E-09	0.0122419841	-0.0040963599	3	0.000751644	0.9709375568	34.4699198315	-17.6371327675	2	6.9152676333	9429	0.9604767241	1	0		
190408_07-08-0016	22	1.0130112502	0.0010531672	1.0234356472	4.2044820763	1.767766953	1.25	0.517766953	5	0.0228949925	17.96875	784.8331892553	1053.9311131387	773.3416970803	0.95855251	0.6202603282	103.5370987346	3.5098072977	29.4993684706	-0.0450594038	1	719.3488784961	782.9938518426	1063.2676749178	789.3321225116	3.89987336093263E-10	0.0131641298	-0.0062631357	7	0.0007516436	0.9876530237	26.9441460117	-10.6499762467	3	6.6389027683	2192	0.5368601518	1	1		
