exp_ic	age	freq.avgsnr	freq.integrate	freq.maxsnr	freq.maxsnr.freq	freq.range.high	freq.range.low	freq.rangesz	length	mass.perc	mass.region	mass.total	region.centroid.0	region.centroid.1	region.eccentricity	region.extent	region.majaxis	region.majmin.ratio	region.minaxis	region.orient	signal	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	spatial.avg	spatial.max	spatial.min	spatial.n.domains	spatial.std	temporal.autocorr	temporal.max	temporal.min	temporal.n.freq	temporal.std	threshold.area	threshold.perc	anml	artifact	hemodynamic	movement
190408_03-04-0000	22	1.1938974992	0.0063041317	1.3278062309	4.2044820763	4.585020216	2.9730177875	1.6120024285	6	0.148132236	70.375	475.0822772669	1318.5151872218	814.252029327	0.889810069	0.3281209726	206.4581852732	2.1913914618	94.2132836012	-0.11080963	0	792.4548349276	798.6062563933	1317.5024133795	813.8164869018	0.000000003	0.0230250723	-0.0052918577	3	0.0007516426	0.9897673019	110.6473174847	-15.5317250901	2	19.6076704951	7638	0.9657352383	0	1	1	
190408_03-04-0001	22	1.4220997776	0.1206828977	1.6203142035	4.585020216	0.0053247448	0.0048828125	0.0004419323	2	0.0710091708	45.15625	635.921381434	1403.1598851125	815.9052178076	0.8718104079	0.5627693966	117.4242403151	2.0414685243	57.5194958512	0.2677961384	0	786.6800054078	796.6091871101	1402.733679297	816.9963774823	-6.06681665632114E-09	0.0188221084	-0.0071739474	1	0.0007516433	0.9906722446	69.5977092912	-15.4286477962	1	14.6907671052	4178	1	0	1	1	
190408_03-04-0002	22	1.2965230613	0.1076894357	1.5130391837	4.585020216	0.0053247448	0.0048828125	0.0004419323	2	0.0162038468	13.0703125	806.6178785834	1301.8032258065	837.0344086022	0.8591438208	0.7220496894	48.6304078446	1.9541394593	24.8858430309	-0.2321735968	0	724.9183756824	792.6781927207	1301.8581694111	835.9040375021	-0.000000003	0.0209594239	-0.0102812585	1	0.0007516447	0.9926717121	41.3356834398	-9.0983603519	1	9.0467835083	930	1	0	1	1	
190408_03-04-0003	22	1.1720931544	0.1797453412	1.3062290351	2.9730177875	0.9638817659	0.3716272234	0.5922545424	12	0.1292775016	87.875	679.7393121528	1510.0928468949	687.5654847305	0.8695289	0.5002392344	211.029749758	2.0247748907	104.2238081504	0.9655505631	1	854.7133085708	771.8189970477	1512.1218997389	690.7496511904	-7.15133743376925E-10	0.0096832597	-0.00423225	3	0.0007516428	0.9739420239	60.7234788777	-34.306650248	3	8.3483504089	14637	0.9996585166	0	0		
190408_03-04-0004	22	2.0930378197	0.5897691486	3.6067078891	3.2420988866	0.0075303263	0.0048828125	0.0026475138	6	0.0623471268	42.65625	684.1734682752	969.9020596889	814.0632618747	0.8958009788	0.806440678	117.6630571341	2.2499445168	52.2959816369	0.0231751149	0	731.7736518654	795.4923330711	979.7269741696	806.2427978633	6.10305477009869E-11	0.0167741722	-0.010248522	5	0.0007516432	0.9845748513	36.1351388447	-16.2649914058	1	8.1019491895	4758	0.7120622568	0	1	1	
190408_03-04-0005	22	1.1842313323	0.0471063526	1.2820887709	3.8555270635	2.9730177875	1.4865088938	1.4865088938	9	0.0779020862	49.34375	633.407299275	334.4604659072	775.0697160347	0.9958124651	0.7374294671	298.330040859	10.9385791401	27.2731985606	0.0277010479	0	630.0342166732	795.504038215	344.6236613593	782.2192920455	1.99755679305885E-10	0.0127963034	-0.005227564	2	0.0007516415	0.9719883382	40.0107155303	-17.8368855913	2	7.5008672058	5881	0.6565081491	0	1	1	
190408_03-04-0006	22	1.0502264326	0.0056024957	1.0793577061	4.585020216	3.5355339059	2.7262693317	0.8092645743	4	0.1128904532	62.21875	551.1427072618	118.4055248619	737.2348855564	0.8465354139	0.5288862915	125.4764816561	1.8785254934	66.795197667	0.8105307565	0	588.6953559467	787.1027266159	118.5669904686	744.6320371001	2.56931175718852E-10	0.0185719597	-0.0044483567	3	0.0007516422	0.9598029183	86.3145819556	-12.3480165454	2	7.2096586844	6335	0.8815752853	0	1	1	
190408_03-04-0007	22	1.0751740232	0.0394990651	1.1157514544	4.585020216	0.0506577951	0.0425979583	0.0080598368	3	0.0612066729	40.96875	669.3510378466	1159.806343476	815.6730273337	0.8946335178	0.5252607341	112.4852787372	2.2381343441	50.2585016996	0.388681845	0	745.2824534632	800.1513370101	1167.3666643687	811.0744523065	-5.35751896845453E-09	0.0179139398	-0.0057541948	4	0.0007516427	0.995825988	40.6042785376	-8.4993739852	2	6.9981697032	3878	0.7773100822	0	1	1	
190408_03-04-0008	22	1.0719201219	0.0076055904	1.1108024629	3.8555270635	2.9730177875	1.6210494433	1.3519683442	8	0.064264001	37.59375	584.9892537112	537.932912844	803.2806766055	0.9792280322	0.8187793427	150.4011730178	4.9318886575	30.4956545987	-0.0147702148	0	656.2084802752	796.8056643135	542.261390069	793.3654898761	3.76243292493481E-09	0.01904648	-0.0058206605	2	0.000751642	0.9860256318	24.3965199883	-15.6364276195	2	6.444022862	3488	0.6008613264	0	1	1	
190408_03-04-0009	22	3.7396799008	1.4285695021	7.3501884318	3.2420988866	0.0075303263	0.0048828125	0.0026475138	6	0.063904134	43.34375	678.2620665355	829.8842468379	803.1742046761	0.9908097279	0.7247222222	229.7868641556	7.3930039418	31.0816639577	0.0189237923	0	707.2645042106	795.4286359834	838.7919157987	799.1509240891	8.33614911225357E-10	0.0135466571	-0.00753302	7	0.000751642	0.9847984185	22.2525018533	-23.295724194	1	6.4155178966	5218	0.8177401661	0	1	1	
